ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [ms],Runtime Improvement [ms],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Cycles [cycle]
34,0.00,constMatApplKernel_cc70,..constMatApplKernel_cc70..,11.42,0.00,44.43,83.70,48,"262144,    1,    1","   32,    2,    1","15,792,369"
13,9.71,shmemPermutingSetKernel,..shmemPermutingSetKernel..,0.01,0.00,4.82,36.00,36,"  256,    1,    1","   64,    1,    1","10,931"
20,9.08,shmemPermutingSetKernel,..shmemPermutingSetKernel..,0.01,0.00,4.90,35.40,36,"  256,    1,    1","   64,    1,    1","10,395"
29,7.87,shmemPermutingSetKernel,..shmemPermutingSetKernel..,0.01,0.00,4.90,35.80,36,"  256,    1,    1","   64,    1,    1","10,366"
18,7.36,shmemPermutingSetKernel,..shmemPermutingSetKernel..,0.01,0.00,4.68,34.74,36,"  256,    1,    1","   64,    1,    1","10,209"
31,20.00,shmemPermutingSetKernel,..shmemPermutingSetKernel..,0.01,0.00,1.44,11.53,36,"   64,    1,    1","   64,    1,    1","8,543"
22,20.00,naivePermutingSetKernel,..naivePermutingSetKernel..,0.00,0.00,1.35,5.55,26,"   64,    1,    1","  128,    1,    1","4,724"
9,20.00,naivePermutingSetKernel,..naivePermutingSetKernel..,0.00,0.00,1.29,5.41,26,"   64,    1,    1","  128,    1,    1","4,684"
25,90.00,naivePermutingSetKernel,..naivePermutingSetKernel..,0.00,0.00,0.17,1.07,26,"    8,    1,    1","  128,    1,    1","4,435"
6,95.00,naivePermutingSetKernel,..naivePermutingSetKernel..,0.00,0.00,0.10,0.63,26,"    4,    1,    1","  128,    1,    1","4,163"
3,98.75,naivePermutingSetKernel,..naivePermutingSetKernel..,0.00,0.00,0.02,0.21,26,"    1,    1,    1","  128,    1,    1","4,069"
